Study_Hours_per_Week,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Final_Score
14.4,69.68,66.74,74.98,91.0,72.96
28.8,73.67,68.61,87.34,64.47,75.53
23.3,92.73,57.56,78.13,72.02,67.13
20.0,67.0,82.44,54.17,86.41,76.92
8.9,93.48,71.27,59.28,77.66,68.9
8.9,54.41,94.61,60.97,90.59,81.27
6.5,88.84,43.88,62.89,100.0,57.46
26.7,92.38,86.64,78.27,60.53,83.03
20.0,59.09,91.78,75.2,89.99,86.05
22.7,71.52,92.38,60.16,65.13,83.47
5.5,58.27,94.81,53.38,73.92,78.25
29.2,85.33,92.5,58.57,55.15,82.51
25.8,76.77,100.0,99.22,62.75,94.05
10.3,81.77,63.05,73.43,70.4,66.4
9.5,59.82,73.04,93.37,72.7,76.0
9.6,60.59,43.72,92.44,100.0,64.88
12.6,52.07,44.2,75.58,91.62,59.62
18.1,66.1,59.84,85.33,100.0,72.35
15.8,77.99,50.79,59.64,83.53,59.2
12.3,92.9,59.3,84.42,67.16,71.79
20.3,83.35,56.71,63.62,70.2,62.81
8.5,71.77,44.26,91.6,71.49,57.26
12.3,97.66,98.25,54.19,69.57,85.16
14.2,85.96,44.75,88.66,88.97,63.3
16.4,96.51,89.08,55.0,79.84,80.0
24.6,76.38,56.51,94.06,74.91,69.68
10.0,62.95,97.73,65.21,61.36,86.14
17.9,52.64,98.94,82.72,56.07,87.66
19.8,86.3,85.17,74.38,65.4,81.83
6.2,56.07,82.19,68.32,59.47,74.11
20.2,65.14,46.38,82.27,94.21,64.36
9.3,76.62,100.0,97.38,61.46,93.12
6.6,78.22,94.65,52.06,89.33,81.06
28.7,80.03,100.0,95.94,75.04,92.42
29.1,58.31,88.28,80.45,58.5,84.91
25.2,68.99,68.25,90.37,96.06,79.23
12.6,80.86,97.4,69.19,83.13,86.96
7.4,98.49,59.71,73.59,66.21,66.43
22.1,86.38,80.39,93.44,100.0,85.31
16.0,96.13,50.78,70.74,56.5,60.61
8.1,88.11,97.75,76.73,64.69,85.73
17.4,79.59,53.67,51.01,90.66,60.4
5.9,59.6,55.26,57.93,88.95,62.9
27.7,83.33,81.8,82.08,69.38,79.49
11.5,81.17,89.3,85.85,58.25,87.22
21.6,80.12,83.64,79.13,97.65,86.02
12.8,74.49,57.77,57.17,69.11,58.25
18.0,76.43,45.46,72.27,64.13,57.92
18.7,66.72,91.04,67.75,79.86,82.87
9.6,75.97,100.0,74.78,100.0,91.04
29.2,59.88,97.35,93.52,57.79,88.8
24.4,90.26,74.93,88.79,93.62,82.13
28.5,59.29,100.0,54.2,81.87,86.7
27.4,54.25,72.81,94.52,76.94,77.86
19.9,71.81,77.47,73.59,91.62,77.1
28.0,82.92,77.03,87.19,100.0,85.59
7.2,71.89,69.02,57.0,64.88,62.85
9.9,63.84,89.48,83.54,62.19,82.76
6.1,77.91,73.44,61.82,99.35,74.54
13.1,67.35,62.93,71.92,87.77,68.49
14.7,96.64,59.9,50.84,74.95,63.48
11.8,96.13,45.8,57.58,82.11,59.57
25.7,75.12,82.7,54.6,90.56,77.58
13.9,66.39,57.97,61.99,92.37,63.8
12.0,86.86,52.49,55.0,99.29,61.02
18.6,51.84,84.81,84.6,76.42,84.25
8.5,73.74,83.42,51.45,67.76,75.66
25.1,66.82,92.66,80.89,86.83,85.8
6.9,96.03,72.28,57.04,74.21,71.62
29.7,50.6,100.0,97.26,85.57,96.96
24.3,77.64,100.0,96.65,76.8,97.51
10.0,87.03,91.44,61.28,61.33,80.27
5.1,74.25,79.67,80.72,78.31,77.36
25.4,54.27,65.84,51.4,87.63,70.17
22.7,98.62,100.0,96.59,95.76,98.55
23.2,75.9,63.41,76.15,79.24,75.34
24.3,80.71,59.45,52.16,61.39,64.7
6.9,61.83,68.6,67.12,74.76,68.6
14.0,74.17,47.61,53.84,92.54,56.01
7.9,71.46,100.0,69.65,74.82,85.06
26.6,53.74,83.29,83.5,89.84,81.25
20.6,55.31,79.6,73.49,79.77,77.6
